Product,Attributes,
Basil,Dried - VF (Vibrofluidized Bed Drying),
Rice,Steamed,
Rice,Basmati - Samaa,
Rice,Puffed (=Muri=Mudhi=Murai),
Rice,Loto,
Rice,Flattened (=Poha),
Rice,Originario (=Tondo),
Rice,Flakes,
Rice,Powder,
Rice,Rolled,
Rice,Ermes,
Rice,Conventional,
Rice,Ribe,
Rice,Indica (=Thaibonnet),
Rice,Sushi (=Pearl),
Rice,Japonica- Vialone Nero,
Rice,Japonica- Baldo,
Rice,Japonica- Arborio,
Rice,Japonica- Carnaroli,
Rice,Chinese Black Rice (=Venere=Forbidden=Emperor's),
Rice,Japonica- Vialone Nano,
Rice,Sant Andrea,
Rice,Broken,
Rice,Langi,
Rice,Doongara,
Rice,Black,
Rice,Matta (=Rosematta=Palakkadan=Kerala Red),
Rice,Giza 177,
Rice,Basmati - Sella,
Rice,Basmati - Sharbati,
Rice,Basmati - Sugandha,
Rice,Basmati - 1509,
Rice,Basmati - 1121 Golden Sella,
Rice,Basmati - White Sella,
Rice,Red,
Rice,10% Broken,
Rice,100% Broken,
Rice,25% Broken,
Rice,15% Broken,
Rice,5% Broken,
Rice,Long  Grain Rice,
Rice,Medium Grain Rice,
Rice,Short Grain Rice,
Rice,Non Basmati Rice,
Rice,Paddy,
Rice,Parboiled,
Rice,Polished (White Rice),
Rice,Dehusked (Brown Rice),
Rice,Sona Masoori (=Sona Masuri),
Rice,PP Bags,
Rice,Bulk (Bulk in Container or Bulk in Vessel),
Rice,Parmal,
Rice,Swarna (=Mansuri),
Rice,Calrose,
Rice,Japonica,
Rice,Basmati- Pusa,
Rice,Golden (=Yellow),
Rice,Gujarat 17 (=Jeerasar=Jirasar),
Rice,Ponni Rice,
Rice,Kernel,
Rice,GMO,
Rice,Organic,
Rice,Non-GMO,
Rice,Jasmine Rice (=Pahtumthanee=Pathumthani),
Rice,Basmati Varieties,
Banana,Conventional,
Banana,Flowpack,
Banana,Gros Michel - Pisang Ambon (=Ambon),
Banana,Gros Michel,
Banana,Plantain - Curare enano (=Dwarf Curare Enano),
Banana,Other - Lakatan (=Barangan=Pisang Barangan),
Banana,Other,
Banana,Small Banana Varieties - Yelakki (=Elaichi),
Banana,Small Banana Varieties - Apple Banana (=Manzana=Manzano=Pisang susu),
Banana,Small Banana Varieties,
Banana,White,
Banana,Caton Box - Telescopic,
Banana,Caton Box - Open Top,
Banana,Plastic Punnets (=Clamshells),
Banana,Crates & Bins,
Banana,Foodtainer & Tray,
Banana,Plastic Box,
Banana,Carry Bags,
Banana,Wooden Box,
Banana,Extract,
Banana,Strips,
Banana,Gros Michel - Hom Thong Banana,
Banana,Yellow,
Banana,Pitted,
Banana,Carton Box (=Cardboard Box),
Banana,As per customer's request,
Banana,PP Bags,
Banana,Mesh Bags (=Nets),
Banana,Dried - Sun Dried,
Banana,Plantain - Nendran,
Banana,Drums,
